"","study_id","net_id","latitude","longitude","latlon_id","locality_id","locality","location_notes","region","continental_island","oceanic_island","elevation","season_id","anthro_drivers","data_type","sampling_method","sampling_unit","ind_quant_unit","sampling_hours","sampling_days","sampling_period_months","year","plant_coverage","plant_sampling_type","target_birds","target_bats","target_primates","target_mamm_carns","target_mamm_herbs","target_mamm_others","target_fish","target_herps","specify_nfm_targets","reg"
"Quitian 2018 3000Natural","Quitian 2018","Quitian 2018 3000Natural",-4.1,-79.166666,"103.latlon.id","Podocarpus National Park and San Francisco Reserve","Ecuador",NA,"Amazonian","no","no",3000,NA,NA,"quant","transect walk","feeding visits","yes",300,NA,"18",2015,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Neotropical"
"Ramaswami 2017","Ramaswami 2017","Ramaswami 2017",17.05,78.75,"160.latlon.id","Chittoor District","India","Andhra pradesh","Oriental","no","no",NA,NA,NA,"bin","focal obs","binary feeding visits","no",300,NA,"6",2016,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Ramos-Robles 2016 net1","Ramos-Robles 2016","Ramos-Robles 2016 net1",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"1",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2013,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net2","Ramos-Robles 2016","Ramos-Robles 2016 net2",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"2",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net3","Ramos-Robles 2016","Ramos-Robles 2016 net3",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"3",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net4","Ramos-Robles 2016","Ramos-Robles 2016 net4",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"4",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net5","Ramos-Robles 2016","Ramos-Robles 2016 net5",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"5",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net6","Ramos-Robles 2016","Ramos-Robles 2016 net6",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"6",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net7","Ramos-Robles 2016","Ramos-Robles 2016 net7",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"7",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net8","Ramos-Robles 2016","Ramos-Robles 2016 net8",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"8",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net9","Ramos-Robles 2016","Ramos-Robles 2016 net9",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"9",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2016 net10","Ramos-Robles 2016","Ramos-Robles 2016 net10",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,"10",NA,"quant","mist netting","fecal with species","yes",NA,NA,"1",2014,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Ramos-Robles 2018","Ramos-Robles 2018","Ramos-Robles 2018",19.5902777777778,-96.3802777777778,"178.latlon.id","Centro de Investigaciones Costeras La Mancha","Mexico",NA,"Mexican","no","no",25,NA,NA,"bin","focal obs, mistnetting, found feces","binary","no",NA,NA,"12",2015,"comp","repr","comp","comp","no","comp","no","no","no","no",NA,"Panamanian"
"Razafindratsima 2013","Razafindratsima 2013","Razafindratsima 2013",-21.2666666666667,47.3333333333333,"41.latlon.id","Ranomafana National Park","Madagascar",NA,"Madagascan","yes","no",1050,NA,NA,"bin","animal follows","binary feeding","no",1572,NA,"12",2011,"comp","repr","no","no","sub","no","no","no","no","no",NA,"Madagascan"
"Reid 2011","Reid 2011","Reid 2011",-33.3833333333333,-70.5166666666667,"99.latlon.id","San Carlos de Apoquindo","Chile",NA,"South American","no","no",1500,NA,NA,"bin","general obs, mist netting","binary","no",NA,NA,"6",2006,"comp","repr","comp","no","no","comp","no","sub","no","no","rabbit","Neotropical"
"Rios-Blanco 2015","Rios-Blanco 2015","Rios-Blanco 2015",8.20333333333333,-75.555,"291.latlon.id","Betanci-Guacamayas","Colombia",NA,"Amazonian","no","no",40,NA,NA,"quant","mistnetting","fecal with species","yes",NA,28,"3",2010,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Robinson 2015","Robinson 2015","Robinson 2015",-22.7077777777778,-47.6061111111111,"53.latlon.id","Area de Preservacao Permanente","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",60,NA,"18",NA,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Rosalino 2010","Rosalino 2010","Rosalino 2010",38.1,-8.56666666666667,"230.latlon.id","Serra de Grandola","Portugal",NA,"Eurasian","no","no",NA,NA,"Restoration site, ~10 years","bin","found feces","binary fecal","no",NA,NA,"12",2007,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Rost 2012","Rost 2012","Rost 2012",42.1,3.03,"253.latlon.id","Emporda plain","Spain",NA,"Eurasian","no","no",NA,NA,NA,"quant","found feces","fecal with species","yes",NA,NA,"15",2008,"comp","repr","no","no","no","comp","no","no","no","no",NA,"Palearctic"
"Rozzi 1996","Rozzi 1996","Rozzi 1996",-42.8,-73.5,"122.latlon.id","Chiloe","Chile","multiple locations in Chiloe archipelago","South American","no","no",NA,NA,NA,"bin","mistnetting","binary fecal","no",NA,NA,"11",1987,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 La Florida","Ruggera 2016","Ruggera 2016 La Florida",-27.2266666666667,-65.625,"83.latlon.id","La Florida Provincial Reserve","Argentina",NA,"South American","no","no",445,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 San Javier","Ruggera 2016","Ruggera 2016 San Javier",-26.6,-65.55,"78.latlon.id","San Javier Provincial Park","Argentina",NA,"South American","no","no",900,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 Los Chorizos","Ruggera 2016","Ruggera 2016 Los Chorizos",-27.25,-65.8883333333333,"84.latlon.id","Los Chorizos, Campo de Los Alisos National Park","Argentina",NA,"South American","no","no",1120,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 Quebrada del Port","Ruggera 2016","Ruggera 2016 Quebrada del Port",-27.03,-65.7733333333333,"82.latlon.id","Quebrada del Portugues","Argentina",NA,"South American","no","no",1584,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 Chorro de Loros","Ruggera 2016","Ruggera 2016 Chorro de Loros",-24.73,-64.6716666666667,"70.latlon.id","Corro de Loros, El Rey National Park","Argentina",NA,"South American","no","no",1020,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 Pozo Verde","Ruggera 2016","Ruggera 2016 Pozo Verde",-24.7566666666667,-64.6933333333333,"72.latlon.id","Pozo Verde, El Rey National Park","Argentina",NA,"South American","no","no",1309,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 EcoPortal","Ruggera 2016","Ruggera 2016 EcoPortal",-24.0983333333333,-64.4483333333333,"67.latlon.id","EcoPortal de Piedra Private Reserve","Argentina",NA,"South American","no","no",1870,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 A. Tres Cruces","Ruggera 2016","Ruggera 2016 A. Tres Cruces",-23.6933333333333,-64.8683333333333,"64.latlon.id","Tres Cruces, Calilegua National Park","Argentina",NA,"South American","no","no",1099,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 Sevenguillar","Ruggera 2016","Ruggera 2016 Sevenguillar",-23.0333333333333,-64.0666666666667,"59.latlon.id","Sevenguillar, Calilegua National Park","Argentina",NA,"South American","no","no",1480,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",80,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Ruggera 2016 El Noglar","Ruggera 2016","Ruggera 2016 El Noglar",-22.2783333333333,-64.71,"46.latlon.id","El Noglar de Los Toldos National Reserve","Argentina",NA,"South American","no","no",1635,NA,NA,"bin","general obs involving animal follows and mistnetting","binary","no",81,NA,NA,NA,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Saldana-Vasquez 2010","Saldana-Vasquez 2010","Saldana-Vasquez 2010",19.5,-96.9416666666667,"173.latlon.id","Central Veracruz","Mexico",NA,"Mexican","no","no",NA,NA,NA,"bin","mistnetting","binary fecal","no",NA,NA,"11",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Sanchez 2012 Iguazu","Sanchez 2012","Sanchez 2012 Iguazu",-25.6666666666667,-54.45,"76.latlon.id","Parque Nacional Iguazu","Argentina",NA,"South American","no","no",200,NA,NA,"quant","mistnetting","fecal with species","yes",NA,NA,"16",2007,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Sanchez 2012 Las Capillas","Sanchez 2012","Sanchez 2012 Las Capillas",-24.0333333333333,-65.1166666666667,"66.latlon.id","Finca Las Capillas","Argentina",NA,"South American","no","no",1000,NA,NA,"quant","mistnetting","fecal with species","yes",NA,NA,"16",2007,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Sanitjan 2009 XTBG arboretum","Sanitjan 2009","Sanitjan 2009 XTBG arboretum",21.925,101.255555555556,"196.latlon.id","XTBG arboretum","China",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs","binary feeding","no",204,NA,"20",2005,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Sanitjan 2009 XTBG forest","Sanitjan 2009","Sanitjan 2009 XTBG forest",21.9166666666667,101.272222222222,"195.latlon.id","XTBG forest","China",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs","binary feeding","no",204,NA,"20",2005,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Sanitjan 2009 Limestone forest","Sanitjan 2009","Sanitjan 2009 Limestone forest",21.9041666666667,101.291666666667,"194.latlon.id","XTBG limestone forest","China",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs","binary feeding","no",204,NA,"20",2005,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Sanitjan 2009 ML primary forest","Sanitjan 2009","Sanitjan 2009 ML primary forest",21.9638888888889,101.169444444444,"197.latlon.id","XTBG ML primary forest","China",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs","binary feeding","no",204,NA,"20",2005,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Sankamethawee 2011","Sankamethawee 2011","Sankamethawee 2011",14.4333333333333,101.366666666667,"152.latlon.id","Mo-Singto plot, Khao Yai National Park","Thailand",NA,"Oriental","no","no",NA,NA,NA,"bin","focal obs","binary feeding visit","no",820,NA,"18",2005,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Santiago 2014 close to remnant","Santiago 2014","Santiago 2014 close to remnant",17.3,-94.3,"162.latlon.id","Uxpanapa, Veracruz","Mexico","multiple locations per habitat type","Panamanian","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,9,"not reported",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Santiago 2014 far from remnant","Santiago 2014","Santiago 2014 far from remnant",17.9,-94.1,"164.latlon.id","Uxpanapa, Veracruz","Mexico","multiple locations per habitat type","Panamanian","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,9,"not reported",NA,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Scherer 2007","Scherer 2007","Scherer 2007",-30.3808611111111,-51.0080555555556,"95.latlon.id","Parque Estadual de Itapua","Brazil",NA,"South American","no","no",NA,NA,NA,"bin","mistnetting, transect walk","binary","no",375,52,"12",2004,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Sethi 2012","Sethi 2012","Sethi 2012",27.1,92.83,"204.latlon.id","Pakke Wildlie Sanctuary","India","Arunachal Pradesh","Oriental","no","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",588,NA,"17",2006,"sub","repr","comp","no","comp","no","no","sub","no","no","squirrels","Oriental"
"Shilton 2009","Shilton 2009","Shilton 2009",-6.098,105.427,"126.latlon.id","Krakatau","Indonesia","ISLAND: Krakatau","Indo-Malayan","yes","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,NA,"25",1996,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Oriental"
"Silva Oliveira 2018","Silva Oliveira 2018","Silva Oliveira 2018",-11.1166666666667,-37.1833333333333,"9.latlon.id","Reserva Particular do Patrimonio Nacional do Caju","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,24,"12",2017,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Simmen 1996","Simmen 1996","Simmen 1996",4.08333333333333,-52.6666666666667,"235.latlon.id","Guiana Massif","French Guiana",NA,"Amazonian","no","no",NA,NA,NA,"bin","animal follows","binary feeding","no",NA,NA,"41",1991,"comp","repr","no","no","sub","no","no","no","no","no",NA,"Neotropical"
"Skeate 1985","Skeate 1985","Skeate 1985",29.75,-82.5,"208.latlon.id","San Felasco Hammock State Preserve","USA",NA,"North American","no","no",NA,NA,NA,"bin","transect walk","binary","no",NA,240,"29",1983,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Nearctic"
"Skutch 1980","Skutch 1980","Skutch 1980",9.33,-83.63,"299.latlon.id","Valley of El General","Costa Rica",NA,"Panamanian","no","no",750,NA,NA,"bin","general obs","binary","no",NA,NA,"48",NA,"sub","repr","comp","no","no","no","no","no","no","no",NA,"Panamanian"
"Snow 1988 DJF","Snow 1988","Snow 1988 DJF",53.056889,-1.851371,"285.latlon.id","Calton, Great Britain","United Kingdom of Great Britain and Northern Ireland",NA,"Eurasian","yes","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",469.3,NA,"not reported",NA,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Snow 1988 MAM","Snow 1988","Snow 1988 MAM",53.056889,-1.851371,"285.latlon.id","Calton, Great Britain","United Kingdom of Great Britain and Northern Ireland",NA,"Eurasian","yes","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",241.1,NA,"not reported",NA,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Snow 1988 JJA","Snow 1988","Snow 1988 JJA",53.056889,-1.851371,"285.latlon.id","Calton, Great Britain","United Kingdom of Great Britain and Northern Ireland",NA,"Eurasian","yes","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",439.9,NA,"not reported",NA,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Snow 1988 SON","Snow 1988","Snow 1988 SON",53.056889,-1.851371,"285.latlon.id","Calton, Great Britain","United Kingdom of Great Britain and Northern Ireland",NA,"Eurasian","yes","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",915.6,NA,"not reported",NA,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Sorensen 1981","Sorensen 1981","Sorensen 1981",51.766667,-1.333333,"270.latlon.id","Wytham Wood","United Kingdom of Great Britain and Northern Ireland","Britain","Eurasian","yes","no",NA,NA,NA,"quant","focal obs","fruits consumed","no",NA,NA,"12",1980,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Souza Gomes 2008 primary forest","Souza Gomes 2008","Souza Gomes 2008 primary forest",-1.20555555555556,-48.295,"5.latlon.id","Parque Ecologico de GUNMA","Brazil",NA,"Amazonian","no","no",NA,NA,"primary forest","bin","mistnetting","binary","no",NA,80,"10",2007,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Souza Gomes 2008 secondary fore","Souza Gomes 2008","Souza Gomes 2008 secondary fore",-1.21388888888889,-48.2902777777778,"5.latlon.id","Parque Ecologico de GUNMA","Brazil",NA,"Amazonian","no","no",NA,NA,"secondary forest","bin","mistnetting","binary","no",NA,80,"10",2007,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Souza Laurindo 2017","Souza Laurindo 2017","Souza Laurindo 2017",-21.4,-46.25,"42.latlon.id","Southern Minas Gerais","Brazil",NA,"South American","no","no",NA,NA,NA,"quant","mistnetting","fecal with species","yes",NA,60,"12",2015,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Spotswood 2012 Moorea","Spotswood 2012","Spotswood 2012 Moorea",-17.6333333333333,-149.5,"20.latlon.id","Tahiti","French Polynesia","ISLAND: Tahiti","Polynesian","no","yes",670,NA,"high invasive miconia abundance","quant","mistnetting","fecal with species","yes",NA,64,"36",2009,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Society Islands"
"Spotswood 2012 Tahiti","Spotswood 2012","Spotswood 2012 Tahiti",-17.5333333333333,-149.833333333333,"19.latlon.id","Moorea","French Polynesia","ISLAND: Moorea","Polynesian","no","yes",375,NA,"low invasive miconia abundance","quant","mistnetting","fecal with species","yes",NA,64,"36",2009,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Society Islands"
"Stevenson 2015","Stevenson 2015","Stevenson 2015",2.66666666666667,-74.1666666666667,"181.latlon.id","Tinigua National Park","Colombia",NA,"Amazonian","no","no",375,NA,NA,"quant","focal obs","percentage of fruits handled","no",3343,NA,"not reported",2000,"sub","repr","comp","no","comp","no","no","no","no","no",NA,"Neotropical"
"Stiebel 2008 Spring","Stiebel 2008","Stiebel 2008 Spring",51,9,"269.latlon.id","Northern Hesse","Germany",NA,"Eurasian","no","no",NA,NA,NA,"quant","focal obs","feeding visits per hour","no",NA,NA,"36",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Stiebel 2008 Winter","Stiebel 2008","Stiebel 2008 Winter",51,9,"269.latlon.id","Northern Hesse","Germany",NA,"Eurasian","no","no",NA,NA,NA,"quant","focal obs","feeding visits per hour","no",NA,NA,"36",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Stiebel 2008 Summer","Stiebel 2008","Stiebel 2008 Summer",51,9,"269.latlon.id","Northern Hesse","Germany",NA,"Eurasian","no","no",NA,NA,NA,"quant","focal obs","feeding visits per hour","no",NA,NA,"36",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Stiebel 2008 Autumn","Stiebel 2008","Stiebel 2008 Autumn",51,9,"269.latlon.id","Northern Hesse","Germany",NA,"Eurasian","no","no",NA,NA,NA,"quant","focal obs","feeding visits per hour","no",NA,NA,"36",1998,"comp","stand","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Suarez-Castro 2015","Suarez-Castro 2015","Suarez-Castro 2015",2.72825,-73.7506944444444,"182.latlon.id","Finca Los Moriches","Colombia",NA,"Amazonian","no","no",255,NA,NA,"bin","mistnetting","binary","no",NA,NA,"7",2012,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Sudhakaran 2012","Sudhakaran 2012","Sudhakaran 2012",8.7,77.8,"294.latlon.id","Southern Tamil Nadu","India","sites in this region","Oriental","no","no",NA,NA,NA,"bin","general obs, found remnants below roosts","binary","no",NA,NA,"12",2009,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Oriental"
"Sun 1997","Sun 1997","Sun 1997",-2.5833333,29.25,"36.latlon.id","Nyungwe Natural Forest Reserve","Rwanda",NA,"African","no","no",2250,NA,NA,"bin","animal follows","binary","no",1309,NA,"13",1992,"comp","repr","sub","no","no","no","no","no","no","no",NA,"Afrotropical"
"Suzuki 2007","Suzuki 2007","Suzuki 2007",14.16667,101.4583,"150.latlon.id","Khao Yai","Thailand",NA,"Oriental","no","no",700,NA,NA,"quant","camera trapping","pictures with visitor","yes",NA,NA,"24",2001,"sub","stand","no","no","no","no","no","sub","no","no","rodents, treeshrews","Oriental"
"Tavares 2007","Tavares 2007","Tavares 2007",-19.75,-42.55,"33.latlon.id","Parque Estadual do Rio Doce","Brazil",NA,"South American","no","no",375,NA,NA,"quant","mistnetting","fecal with species","yes",NA,29,"6",1997,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Neotropical"
"Toledo 2018","Toledo 2018","Toledo 2018",-22.3958,-47.543889,"48.latlon.id","Universidade Estadual Paulista Julio de Mesquita Filho Bela Vista","Brazil",NA,"South American","no","no",NA,NA,NA,"bin","mistnetting","fecal with species","yes",NA,52,"12",2017,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Traveset 1992","Traveset 1992","Traveset 1992",39.14,2.94,"232.latlon.id","Cabrera Island","Baleares","ISLAND: Cabrera Island","Eurasian","yes","no",NA,NA,NA,"quant","mitnetting","fecal with species","yes",NA,16,"1",1992,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Palearctic"
"Ungar 1995","Ungar 1995","Ungar 1995",3.65,97.7,"213.latlon.id","Ketambe","Indonesia","ISLAND: Java","Indo-Malayan","yes","no",NA,NA,NA,"quant","focal obs","feeding visits","yes",1800,NA,"12",1991,"comp","repr","no","no","comp","no","no","no","no","no",NA,"Oriental"
"Velazquez 2010","Velazquez 2010","Velazquez 2010",8.20333333,-75.555,"292.latlon.id","Finca Betanci-Guacamayas","Colombia",NA,"Amazonian","no","no",NA,NA,NA,"bin","mistnetting","binary","no",NA,30,"2",2010,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Villate Suarez 2017","Villate Suarez 2017","Villate Suarez 2017",5.61,-73.4566666666667,"266.latlon.id","La Vega, Boyaca","Colombia",NA,"Amazonian","no","no",2737,NA,"cleared land","quant","mistnetting","fecal with species","yes",NA,NA,"12",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Neotropical"
"Vizentin-Bugoni 2019 EKA","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 EKA",21.443306,-158.084519,"189.latlon.id","Ekahanui","Hawaii",NA,"North American","no","yes",467,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vizentin-Bugoni 2019 KAH","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 KAH",21.536819,-158.193167,"192.latlon.id","Kahanahaiki","Hawaii",NA,"North American","no","yes",667,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vizentin-Bugoni 2019 MOA","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 MOA",21.376042,-157.873358,"187.latlon.id","Moanalua","Hawaii",NA,"North American","no","yes",108,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vizentin-Bugoni 2019 MTK","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 MTK",21.506828,-158.144769,"190.latlon.id","Mount Kaʻala","Hawaii",NA,"North American","no","yes",1206,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vizentin-Bugoni 2019 PAH","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 PAH",21.536472,-158.1799,"191.latlon.id","Pahole","Hawaii",NA,"North American","no","yes",594,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vizentin-Bugoni 2019 TAN","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 TAN",21.338386,-157.810914,"186.latlon.id","Tantalus","Hawaii",NA,"North American","no","yes",549,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vizentin-Bugoni 2019 WAI","Vizentin-Bugoni 2019","Vizentin-Bugoni 2019 WAI",21.632117,-158.040747,"193.latlon.id","Waimea Valley","Hawaii",NA,"North American","no","yes",190,NA,NA,"bin","mistnetting","binary","no",980,14,"38",2016,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Hawaiian Islands"
"Vleut 2015","Vleut 2015","Vleut 2015",16.7688888888889,-91.1366666666667,"158.latlon.id","Maya Lacandon community","Mexico",NA,"Panamanian","no","no",NA,NA,NA,"quant","mist netting","fecal with species","yes",NA,144,"12",2011,"comp","repr","no","comp","no","no","no","no","no","no",NA,"Panamanian"
"Walther 2018","Walther 2018","Walther 2018",25.031,121.5357,"202.latlon.id","Pingtung county","Taiwan","multiple locations in Taiwan","Oriental","yes","no",NA,NA,NA,"bin","focal obs","binary feeding","no",175,NA,"7",2014,"sub","stand","comp","no","no","no","no","no","no","no",NA,"Oriental"
"Williams 1996 Eves","Williams 1996","Williams 1996 Eves",-41.333,173.054,"113.latlon.id","Eves","New Zealand",NA,"Novozelandic","yes","no",100,NA,NA,"quant","mist netting","fecal with species","yes",NA,33,"13",1993,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
"Williams 1996 Marsden","Williams 1996","Williams 1996 Marsden",-41.312,173.266,"112.latlon.id","Marsden","New Zealand",NA,"Novozelandic","yes","no",100,NA,NA,"quant","mist netting","fecal with species","yes",NA,19,"5",1993,"comp","repr","comp","no","no","no","no","no","no","no",NA,"Novozelandic"
